ID;Street;AdmArea;District;SpeedLimit;TransportLimit;TimeLimit;RoadConditionsLimit;CommissioningDate;AreaCoordinates;global_id;geodata_center;geoarea
161;улица Александровка;Зеленоградский административный округ;район Крюково;40;нет;нет;нет;;"55.989202,37.145809; 55.990003,37.153502";1133017645;;
162;проезд без названия;Зеленоградский административный округ;район Крюково;40;нет;нет;нет;;"55.969852,37.149265; 55.969563,37.149522; 55.9695,37.149552; 55.969365,37.149596; 55.96918,37.149618; 55.969045,37.149605; 55.968898,37.149526; 55.968632,37.149322";1133017646;;
163;проезд без названия;Зеленоградский административный округ;район Крюково;40;нет;нет;нет;;"55.968144,37.14944; 55.968266,37.149453; 55.968421,37.149529; 55.968558,37.14963; 55.968751,37.149753; 55.968988,37.149865; 55.969115,37.149896; 55.969232,37.149881; 55.96959,37.149729; 55.969998,37.149374";1133017647;;
164;проезд без названия;Зеленоградский административный округ;район Крюково;40;нет;нет;нет;;"55.963772,37.18606; 55.96738,37.185494; 55.967533,37.18549; 55.96784,37.185523; 55.96792,37.185519; 55.968304,37.185355; 55.968378,37.185328; 55.968931,37.18524; 55.969036,37.185211; 55.96915,37.185161; 55.969205,37.185135; 55.969293,37.185071; 55.969409,37.18493";1133017648;;
165;Заводская улица;Зеленоградский административный округ;район Крюково;50;нет;нет;нет;;"55.971317,37.190667; 55.970911,37.192809; 55.970799,37.193276; 55.970657,37.19371; 55.970206,37.194976; 55.969856,37.195777; 55.968497,37.198089; 55.968334,37.198342";1133017649;;
166;Заводская улица;Зеленоградский административный округ;район Крюково;40;нет;нет;нет;;"55.973107,37.185202; 55.971738,37.188926";1133017650;;
167;улица 1 Мая;Зеленоградский административный округ;район Крюково;40;нет;нет;нет;;"55.978592,37.17404; 55.975335,37.173015; 55.975261,37.172967; 55.975192,37.172887; 55.975065,37.172671; 55.97504,37.172599; 55.97504,37.172568";1133017651;;
168;Старокрюковский проезд;Зеленоградский административный округ;[район Крюково, район Старое Крюково];40;нет;нет;нет;;"55.977012,37.186116; 55.974847,37.183761#55.974793,37.183864; 55.977363,37.186674";1133017652;;
169;Панфиловский проспект;Зеленоградский административный округ;район Старое Крюково;40;нет;нет;нет;;"55.981907,37.176627; 55.981919,37.176658; 55.98206,37.177036; 55.982433,37.178181; 55.982473,37.178287; 55.982535,37.178416; 55.982571,37.178463";1133017653;;
170;Солнечная аллея;Зеленоградский административный округ;район Старое Крюково;50;нет;нет;нет;;"55.981371,37.182194; 55.982584,37.178539#55.981657,37.208575; 55.982048,37.210226; 55.98208,37.210369; 55.982088,37.210439; 55.982086,37.210546; 55.982071,37.210634; 55.982028,37.210862";1133017654;;
171;Центральный проспект;Зеленоградский административный округ;район Старое Крюково;50;нет;нет;нет;;"55.982843,37.21085; 55.982348,37.210653";1133017655;;
174;Панфиловский проспект;Зеленоградский административный округ;район Матушкино;50;нет;нет;нет;;"56.013131,37.20565; 56.012313,37.204969; 56.012236,37.204866; 56.012169,37.204752; 56.01184,37.204168; 56.011754,37.204029; 56.011646,37.203886";1133017658;;
175;Панфиловский проспект;Зеленоградский административный округ;район Матушкино;50;нет;нет;нет;;"56.013907,37.205936; 56.01378,37.205882; 56.012429,37.204729; 56.012299,37.20459; 56.011947,37.204178; 56.011789,37.204021; 56.011646,37.203886";1133017659;;
176;Сосновая аллея;Зеленоградский административный округ;район Савёлки;50;нет;нет;нет;;"55.984684,37.23888; 55.984222,37.240334; 55.984164,37.24059; 55.983919,37.241861; 55.983839,37.242176; 55.983738,37.24244; 55.983635,37.242675; 55.983041,37.243707; 55.98296,37.243889; 55.982328,37.24602";1133017660;;
177;Фирсановское шоссе;Зеленоградский административный округ;район Савёлки;40;нет;нет;нет;;"55.97597,37.263361; 55.975418,37.263165; 55.974856,37.262926; 55.974222,37.262656; 55.973653,37.262377; 55.972342,37.261557; 55.972195,37.261427; 55.972091,37.261283; 55.972003,37.261125; 55.97178,37.260607; 55.971713,37.26048; 55.971638,37.260377; 55.971545,37.260291; 55.971443,37.260232; 55.970853,37.26002";1133017661;;
180;Боровская улица;Новомосковский административный округ;поселение Внуковское;40;нет;нет;нет;;"55.628034,37.315032; 55.628696,37.318986; 55.6305,37.327112; 55.630593,37.327538; 55.630672,37.327954; 55.631929,37.335094";1133017664;;
181;улица Генерала Донскова;Троицкий административный округ;поселение Новофедоровское;40;нет;нет;нет;;"55.509429,36.936272; 55.509198,36.936107; 55.501786,36.929115; 55.499838,36.925996; 55.499144,36.924971; 55.498516,36.924224; 55.49691,36.922635; 55.493473,36.919322; 55.493016,36.91895; 55.489033,36.916262; 55.486401,36.913742; 55.484654,36.911507; 55.484566,36.911406";1133017665;;
182;Большая Октябрьская улица;Троицкий административный округ;поселение Троицк;40;нет;нет;нет;;"55.492986,37.29775; 55.491627,37.298777";1133017666;;
183;Центральная улица;Новомосковский административный округ;поселение Десеновское;40;нет;нет;нет;;"55.529241,37.388038; 55.528405,37.386977; 55.52756,37.385731; 55.527325,37.385271";1133017667;;
184;улица Атласова;Новомосковский административный округ;поселение Московский;40;нет;нет;нет;;"55.601029,37.355951; 55.602811,37.356708; 55.602988,37.356738; 55.603171,37.356711";1133017668;;
186;Варшавское шоссе;Троицкий административный округ;поселение Щаповское;50;нет;нет;нет;;"55.358815,37.356462; 55.359339,37.357813#55.359934,37.359164; 55.359462,37.357936";1133017670;;
187;Варшавское шоссе;Троицкий административный округ;поселение Кленовское;50;нет;нет;нет;;"55.352438,37.339819; 55.3536,37.34288#55.353657,37.342831; 55.352476,37.339699";1133017671;;
188;улица 40 лет Октября;Новомосковский административный округ;поселение Щербинка;40;нет;нет;нет;;"55.511399,37.571055; 55.511198,37.567845";1133017672;;
189;Боровское шоссе;Новомосковский административный округ;поселение Марушкинское;40;нет;нет;нет;;"55.573288,37.1087; 55.57376,37.109743; 55.574812,37.112391; 55.574891,37.112653; 55.574951,37.11294; 55.576456,37.123355; 55.576481,37.123664; 55.576494,37.123966; 55.576495,37.124218; 55.576352,37.127553; 55.576347,37.127807; 55.576358,37.128066; 55.576381,37.128287; 55.576898,37.131506";1133017673;;
190;Боровское шоссе;[Западный административный округ, Новомосковский административный округ];[район Внуково, поселение Внуковское];40;нет;нет;нет;;"55.616543,37.268249; 55.616865,37.268959; 55.617083,37.269383; 55.617301,37.269771; 55.617491,37.270071; 55.618933,37.271975; 55.619053,37.272199; 55.619147,37.272406; 55.619408,37.273098; 55.619478,37.273349; 55.619524,37.273589; 55.619588,37.273833; 55.619672,37.274088; 55.620366,37.275915; 55.620505,37.276413; 55.62079,37.277521; 55.6213,37.279747";1133017674;;
191;проезд без названия;Новомосковский административный округ;поселение Сосенское;40;да;нет;нет;;"55.568452,37.402869; 55.568429,37.403114; 55.568357,37.403713; 55.568329,37.403893; 55.568291,37.404103; 55.568141,37.404726; 55.568012,37.405162; 55.567796,37.405727; 55.567595,37.40616; 55.564488,37.41083; 55.563903,37.411707; 55.563784,37.411916; 55.563559,37.412363; 55.563449,37.412643; 55.561663,37.417697; 55.560298,37.42088";1133017675;;
192;проезд без названия;Троицкий административный округ;поселение Щаповское;40;да;нет;нет;;"55.39882,37.363867; 55.400715,37.363867; 55.400831,37.363828; 55.400927,37.363748; 55.40101,37.363634; 55.401081,37.363481; 55.401151,37.363296; 55.401207,37.36319; 55.401266,37.363138; 55.401345,37.363109; 55.402293,37.362932; 55.402438,37.362847; 55.40258,37.362713; 55.403964,37.360745; 55.405706,37.358752; 55.405813,37.358717; 55.405911,37.358716";1133017676;;
193;проезд без названия;Троицкий административный округ;поселение Вороновское;40;нет;нет;нет;;"55.315759,37.222086; 55.316095,37.221546; 55.317566,37.219561";1133017677;;
194;проезд без названия;Троицкий административный округ;поселение Краснопахорское;40;да;нет;нет;;"55.439479,37.315163; 55.439673,37.316122; 55.439989,37.31674; 55.440058,37.316924; 55.440463,37.318884; 55.440483,37.318999; 55.440513,37.319269; 55.440519,37.319464; 55.440514,37.319768";1133017678;;
195;Октябрьская улица;Троицкий административный округ;поселение Краснопахорское;40;нет;нет;нет;;"55.429304,37.267647; 55.429681,37.269072; 55.429816,37.269518";1133017679;;
196;проезд без названия;Троицкий административный округ;поселение Щаповское;40;нет;нет;нет;;"55.366555,37.376898; 55.363517,37.383127";1133017680;;
197;Яковлевская улица;Новомосковский административный округ;поселение Десеновское;40;нет;нет;нет;;"55.489864,37.402063; 55.489977,37.402081; 55.490114,37.402081; 55.490398,37.402037; 55.490568,37.401986; 55.49076,37.401896; 55.490937,37.401737; 55.491117,37.401539";1133017681;;
198;Садовая улица;Новомосковский административный округ;поселение Десеновское;40;нет;нет;нет;;"55.491135,37.401517; 55.49094,37.401734; 55.490759,37.401898; 55.490563,37.401984; 55.490403,37.402038; 55.490116,37.402082; 55.489975,37.402081; 55.489836,37.402058; 55.483548,37.40043; 55.482731,37.400328; 55.481826,37.400284";1133017682;;
199;проезд без названия;Троицкий административный округ;поселение Михайлово-Ярцевское;40;нет;нет;нет;;"55.406634,37.207652; 55.411227,37.218498";1133017683;;
200;Центральная улица;Троицкий административный округ;поселение Новофедоровское;40;нет;нет;нет;;"55.461473,36.939619; 55.461252,36.939595; 55.457511,36.939566; 55.457165,36.939596; 55.455506,36.939828; 55.454453,36.940064; 55.45435,36.9401; 55.45361,36.940425; 55.45147,36.941626; 55.450894,36.942066; 55.450523,36.942434; 55.449922,36.943113; 55.448545,36.945033";1133017684;;
202;Центральная улица;Троицкий административный округ;поселение Роговское;40;нет;нет;нет;;"55.219143,36.99144; 55.220303,36.994464";1133017686;;
203;проезд без названия;Новомосковский административный округ;[поселение Марушкинское, поселение Филимонковское];40;да;нет;нет;;"55.576003,37.264939; 55.575622,37.265343; 55.575563,37.265442; 55.575252,37.266158; 55.575078,37.266374; 55.574166,37.267026; 55.574063,37.267081; 55.573161,37.2675; 55.572336,37.267988; 55.572278,37.268031; 55.571564,37.268456; 55.571103,37.268814; 55.570046,37.269484; 55.570284,37.270803; 55.570392,37.271536; 55.570425,37.271693; 55.570557,37.272115; 55.570603,37.272413; 55.570603,37.272698; 55.570551,37.273268; 55.570539,37.27356; 55.570559,37.273842";1133017687;;
5;Новотушинская улица;Северо-Западный административный округ;район Щукино;40;нет;нет;нет;;"55.809358,37.483915; 55.810834,37.483796; 55.810893,37.4838; 55.81094,37.483846; 55.81098,37.483902; 55.810992,37.483987; 55.810993,37.48408";1133017798;;
9;проезд Донелайтиса;Северо-Западный административный округ;район Южное Тушино;40;нет;нет;нет;;"55.844614,37.420787; 55.844688,37.420687; 55.844845,37.420562; 55.845264,37.42027; 55.846147,37.419663; 55.846507,37.419326; 55.847193,37.418512; 55.847304,37.418405; 55.847413,37.418352; 55.849174,37.417735; 55.849229,37.417719";1133035724;;
20;Новохорошёвский проезд;Северо-Западный административный округ;район Хорошёво-Мнёвники;20;нет;нет;нет;;"55.778434,37.501823; 55.778184,37.495096; 55.778281,37.49279; 55.777811,37.492018; 55.777724,37.491784; 55.777699,37.491116";1133035725;;
22;Юровская улица;Северо-Западный административный округ;район Куркино;20;нет;нет;нет;;"55.899214,37.375959; 55.899202,37.375697; 55.899189,37.375504; 55.899158,37.375284; 55.899017,37.37467; 55.899111,37.374508; 55.89917,37.374349; 55.899198,37.374183; 55.899197,37.37396; 55.899127,37.372492; 55.898944,37.370152; 55.898884,37.369723; 55.898805,37.369445; 55.898744,37.369255; 55.898673,37.369158; 55.898545,37.369074; 55.898435,37.369083; 55.89834,37.369107; 55.898218,37.369193; 55.896208,37.371743; 55.896081,37.371875; 55.895385,37.372566; 55.895254,37.372695; 55.895158,37.372773; 55.894156,37.373493; 55.894029,37.373558; 55.893901,37.37359; 55.893518,37.373618";1133035726;;
27;Новосходненское шоссе;Северный административный округ;Молжаниновский район;40;нет;нет;нет;;"55.932893,37.352557; 55.933209,37.352106; 55.933434,37.351836; 55.93361,37.351652; 55.933798,37.35149; 55.93546,37.35042; 55.935646,37.350272; 55.935817,37.350083; 55.935951,37.349874; 55.93606,37.349592; 55.936139,37.34926; 55.936179,37.348903; 55.936227,37.347402";1133035727;;
33;Валаамская улица;Северный административный округ;район Коптево;40;нет;нет;нет;;"55.847099,37.555402; 55.844574,37.559144; 55.844535,37.559179; 55.844492,37.559199; 55.844454,37.559205; 55.844374,37.559176; 55.844317,37.559115";1133035728;;
47;Октябрьский переулок;Северо-Восточный административный округ;район Марьина Роща;40;нет;нет;нет;;"55.791036,37.611523; 55.786537,37.61163; 55.786485,37.61165; 55.786461,37.611677; 55.786441,37.611745; 55.786438,37.611867; 55.78645,37.61227";1133035729;;
54;Ланинский переулок;Восточный административный округ;район Богородское;40;нет;нет;нет;;"55.815449,37.706944; 55.815498,37.706963; 55.815566,37.706954; 55.817571,37.706219; 55.818616,37.705492; 55.818931,37.705218";1133035730;;
57;Наримановская улица;Восточный административный округ;район Богородское;40;нет;нет;нет;;"55.814991,37.701879; 55.814937,37.703245; 55.814974,37.703816; 55.815406,37.706835; 55.815437,37.706937";1133035731;;
81;Кировоградская улица;Южный административный округ;район Чертаново Центральное;40;нет;нет;нет;;"55.615858,37.605704; 55.621128,37.608241";1133035733;;
88;улица Поляны;Юго-Западный административный округ;район Южное Бутово;40;нет;нет;нет;;"55.551528,37.549158; 55.551648,37.549409; 55.551776,37.549671; 55.551969,37.550041; 55.552152,37.550367; 55.552475,37.55085; 55.552773,37.551229; 55.553344,37.551841#55.552663,37.550317; 55.552514,37.550065; 55.552309,37.549693; 55.552183,37.549458; 55.55179,37.548581; 55.551549,37.547951; 55.551423,37.547545; 55.551255,37.546849; 55.551177,37.546449; 55.551114,37.546015; 55.551069,37.545573; 55.551054,37.545241; 55.551036,37.544791; 55.551043,37.544417; 55.551062,37.544002; 55.551177,37.542987; 55.55138,37.541873";1133035734;;
97;4-й Дачно-Мещерский проезд;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.671516,37.408386; 55.66823,37.412119";1133035735;;
105;Очаковская улица;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.671794,37.409095; 55.676372,37.420885; 55.676407,37.420978; 55.676439,37.421021; 55.676509,37.421028; 55.677002,37.420539";1133035736;;
125;Дохтуровский переулок;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.743372,37.551039; 55.743027,37.551459; 55.742926,37.551709; 55.742403,37.552372; 55.742292,37.552619; 55.742159,37.552812; 55.741972,37.55302; 55.741314,37.553577";1133035737;;
129;Студенческая улица;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.738338,37.537995; 55.744346,37.553385";1133035738;;
140;2-й Брянский переулок;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.743082,37.563326; 55.743125,37.563498; 55.743183,37.563624; 55.74339,37.56384";1133035739;;
141;Николоямская набережная;Центральный административный округ;Таганский район;40;нет;нет;нет;;"55.749904,37.655884; 55.750229,37.657677; 55.75025,37.658012; 55.75025,37.658354; 55.750229,37.65873; 55.749997,37.661595; 55.74995,37.661931; 55.749859,37.662294; 55.749722,37.662608";1133035740;;
142;Мамоновский переулок;Центральный административный округ;Тверской район;40;нет;нет;нет;;"55.765592,37.597084; 55.767139,37.600874";1133035741;;
143;Большая Пироговская улица;Центральный административный округ;район Хамовники;40;нет;нет;нет;;"55.733754,37.575471; 55.734156,37.576353; 55.737667,37.584101";1133035742;;
144;Голиковский переулок;Центральный административный округ;район Замоскворечье;40;нет;нет;нет;;"55.74026,37.62663; 55.740171,37.627023; 55.740148,37.627065; 55.740105,37.627082; 55.738751,37.626972; 55.738712,37.626987; 55.738691,37.627045; 55.738699,37.628309";1133035743;;
145;Серебрянический переулок;Центральный административный округ;Таганский район;40;нет;нет;нет;;"55.75037,37.648448; 55.750342,37.647374; 55.750252,37.646265; 55.750215,37.646024; 55.750161,37.645813; 55.749747,37.644557";1133035744;;
146;Шмитовский проезд;Центральный административный округ;Пресненский район;40;нет;нет;нет;;"55.758802,37.55619; 55.75863,37.553417; 55.758596,37.553158";1133035745;;
147;Краснопрудная улица;Центральный административный округ;Красносельский район;40;нет;нет;нет;;"55.778948,37.66478; 55.778063,37.662636; 55.776313,37.658813; 55.776223,37.658554; 55.77611,37.65815#55.777968,37.662779; 55.779409,37.666261";1133035746;;
148;улица Петровка;Центральный административный округ;Тверской район;40;нет;нет;нет;;"55.770184,37.611748; 55.769177,37.61269; 55.769095,37.612755; 55.768571,37.613152; 55.76801,37.613623; 55.766486,37.615157; 55.76599,37.61566; 55.764744,37.61666; 55.763611,37.617394; 55.762841,37.61772";1133035747;;
149;Долгоруковская улица;Центральный административный округ;Тверской район;40;нет;нет;нет;;"55.774878,37.603816; 55.775648,37.603493; 55.776005,37.603307#55.778087,37.601805; 55.776305,37.603001; 55.775991,37.603183";1133035748;;
150;1-я Миусская улица;Центральный административный округ;Тверской район;40;нет;нет;нет;;"55.778901,37.597245; 55.78095,37.593015; 55.781034,37.592853; 55.78114,37.59267";1133035749;;
151;Печатников переулок;Центральный административный округ;[Красносельский район, Мещанский район];40;нет;нет;нет;;"55.76749,37.623887; 55.767379,37.625241; 55.767359,37.625542; 55.76736,37.62595; 55.767569,37.630191; 55.767569,37.630455; 55.767553,37.631671";1133035750;;
152;1-й Спасоналивковский переулок;Центральный административный округ;район Якиманка;40;нет;нет;нет;;"55.733732,37.612809; 55.733421,37.615258";1133035751;;
153;улица Бахрушина;Центральный административный округ;район Замоскворечье;40;нет;нет;нет;;"55.734963,37.635614; 55.732824,37.636965";1133035752;;
154;Большая Татарская улица;Центральный административный округ;район Замоскворечье;40;нет;нет;нет;;"55.738308,37.63442; 55.740047,37.633115; 55.740198,37.632996; 55.742336,37.631256";1133035753;;
155;Пушкарёв переулок;Центральный административный округ;[Красносельский район, Мещанский район];40;нет;нет;нет;;"55.769017,37.632077; 55.768835,37.626761; 55.768836,37.626491; 55.768866,37.626215; 55.769068,37.624882";1133035754;;
172;Панфиловский проспект;Зеленоградский административный округ;район Силино;50;нет;нет;нет;;"55.990288,37.185312; 55.991631,37.18646#55.993169,37.187715; 55.991759,37.186431";1133035755;;
178;проезд без названия;Зеленоградский административный округ;район Старое Крюково;40;нет;нет;нет;;"55.976009,37.184687; 55.976104,37.184471; 55.976258,37.184059; 55.976504,37.18337; 55.977224,37.181568; 55.978324,37.179092; 55.979172,37.177006; 55.980014,37.175416; 55.980066,37.175331; 55.980125,37.175283; 55.980205,37.175255; 55.980273,37.175241; 55.980425,37.175276";1133035757;;
179;Озёрная улица;Новомосковский административный округ;поселение Марушкинское;40;нет;нет;нет;;"55.58843,37.119149; 55.589337,37.118124; 55.590079,37.117627; 55.592095,37.116451; 55.59312,37.116065; 55.594405,37.115308; 55.594501,37.115277; 55.5946,37.115263; 55.59605,37.115044; 55.597001,37.114992; 55.597181,37.114912; 55.597348,37.114772; 55.597549,37.114518#55.60143,37.10951; 55.602908,37.10759";1133035758;;
61;набережная Шитова;Восточный административный округ;район Преображенское;20;нет;нет;нет;;"55.808704,37.731897; 55.808044,37.732665; 55.807176,37.733319; 55.805996,37.733249; 55.805016,37.73329";1133035767;;
173;проезд без названия;Зеленоградский административный округ;район Матушкино;40;нет;нет;нет;;"56.013449,37.190586; 56.010833,37.192587";1133036093;;
206;Коровинское шоссе;Северный административный округ;[Бескудниковский район, район Западное Дегунино];40;нет;нет;нет;;"55.872356,37.530257; 55.872001,37.530757; 55.871852,37.530993; 55.871575,37.531514; 55.871017,37.532849; 55.870318,37.534334";1150446629;;
207;Базовская улица;Северный административный округ;район Западное Дегунино;40;нет;нет;нет;;"55.874536,37.506944; 55.875819,37.508574";1150446631;;
208;Конаковский проезд;Северный административный округ;Головинский район;40;нет;нет;нет;;"55.844347,37.48333; 55.842357,37.484834";1150446632;;
209;улица Клары Цеткин;Северный административный округ;район Коптево;40;нет;нет;нет;;"55.830022,37.511255; 55.829931,37.511383; 55.829682,37.511798; 55.827939,37.514764; 55.827856,37.514867";1150446633;;
210;Донецкая улица;Юго-Восточный административный округ;район Марьино;30;нет;нет;нет;;"55.647258,37.711506; 55.648338,37.713059; 55.649928,37.71535; 55.653424,37.720387";1150446635;;
211;Донецкая улица;Юго-Восточный административный округ;район Марьино;30;нет;нет;нет;;"55.652938,37.721639; 55.650883,37.718677; 55.649094,37.716094; 55.647362,37.713598";1150446636;;
212;улица Верхние Поля;Юго-Восточный административный округ;район Люблино;40;нет;нет;нет;;"55.667809,37.760182; 55.667719,37.759857; 55.667647,37.759491; 55.667529,37.758851; 55.667289,37.757284; 55.66682,37.754249";1150446637;;
214;улица Перерва;Юго-Восточный административный округ;район Марьино;10;нет;нет;нет;;"55.658697,37.747881; 55.658728,37.747759; 55.658788,37.747601; 55.658864,37.747489; 55.658938,37.747414; 55.659044,37.747378; 55.659104,37.747392; 55.66081,37.751874; 55.660816,37.751915; 55.660805,37.751947; 55.660423,37.752399; 55.658703,37.747901";1150446639;;
215;проезд без названия;Юго-Восточный административный округ;район Марьино;30;нет;нет;нет;;"55.6613,37.741249; 55.660989,37.742251; 55.660936,37.742377; 55.660862,37.742459; 55.660769,37.742492; 55.660045,37.742464; 55.659916,37.74247; 55.65983,37.742488; 55.65769,37.743354";1150446640;;
218;проезд без названия;Восточный административный округ;район Новогиреево;40;нет;нет;нет;;"55.745819,37.809634; 55.755119,37.813775";1150446643;;
219;Куркинское шоссе;Северо-Западный административный округ;район Куркино;40;нет;нет;нет;;"55.886684,37.382248; 55.886908,37.379966; 55.886936,37.379796; 55.886976,37.379676; 55.887032,37.379576; 55.887114,37.379486; 55.887644,37.379055; 55.88775,37.378996; 55.887826,37.378963; 55.887904,37.378941; 55.888041,37.378929; 55.888192,37.378916; 55.888299,37.378889; 55.888392,37.378852; 55.888488,37.378787; 55.88857,37.378703; 55.88891,37.378316; 55.888972,37.378255; 55.889046,37.378192; 55.889384,37.377948; 55.889491,37.377852; 55.889586,37.377739; 55.889671,37.377624; 55.891305,37.375174; 55.891386,37.375079; 55.891466,37.375003; 55.891539,37.374955; 55.891714,37.374887";1150446644;;
216;площадь Победы;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.737055,37.51626; 55.737405,37.518818; 55.737546,37.519998; 55.737567,37.52022; 55.73757,37.520301; 55.737567,37.520378; 55.737552,37.520445; 55.737503,37.520579; 55.73749,37.520646; 55.737492,37.520701; 55.737808,37.522464";1150446827;;
205;улица Дмитрия Разумовского;Зеленоградский административный округ;район Крюково;40;нет;нет;нет;;"55.963549,37.186056; 55.963525,37.186271; 55.963525,37.186394; 55.963526,37.186476; 55.963671,37.18894; 55.963752,37.189597; 55.963959,37.19048; 55.964145,37.19102; 55.964398,37.191472; 55.964704,37.191805; 55.965115,37.19202; 55.965401,37.192043; 55.965684,37.191969; 55.965868,37.191857; 55.966141,37.191571; 55.96626,37.191421; 55.966371,37.191246; 55.966472,37.191052; 55.966561,37.190855; 55.966652,37.190623; 55.966762,37.190317; 55.96683,37.190155; 55.966921,37.189981; 55.96707,37.189724; 55.967168,37.18958; 55.967241,37.189477; 55.967288,37.189424#55.967875,37.189003; 55.968027,37.188916; 55.968128,37.188871; 55.968228,37.188835; 55.968326,37.188812; 55.968416,37.188801; 55.968507,37.1888; 55.968583,37.18881#55.9687,37.188843; 55.968779,37.18887; 55.968898,37.188924; 55.969002,37.18898; 55.969084,37.189003; 55.96916,37.189015; 55.969313,37.189026; 55.969379,37.189041; 55.969422,37.189063; 55.969468,37.1891; 55.969526,37.189173";1150456251;;
213;12-я Новокузьминская улица;Юго-Восточный административный округ;Рязанский район;30;нет;нет;нет;;"55.713192,37.781284; 55.713475,37.781048; 55.713623,37.780961; 55.713678,37.780977; 55.713739,37.781014; 55.713862,37.781146; 55.714827,37.782151; 55.71542,37.782775; 55.715482,37.782822; 55.715987,37.783351; 55.716472,37.783864; 55.716587,37.783982";1150456506;;
217;Игральная улица;Восточный административный округ;район Богородское;40;нет;нет;нет;;"55.81418,37.712286; 55.81462,37.712869; 55.814793,37.713033; 55.815911,37.713755; 55.816029,37.713805; 55.816108,37.71382; 55.816739,37.713728; 55.816838,37.713742; 55.816903,37.713805; 55.817087,37.714054";1150456633;;
220;проезд без названия;Троицкий административный округ;поселение Первомайское;40;нет;нет;нет;;"55.527681,37.155071; 55.52846,37.154808; 55.529129,37.154555; 55.529272,37.154488; 55.530691,37.15371; 55.531078,37.153468";2306336335;;
221;Солнечная улица;Троицкий административный округ;поселение Роговское;40;нет;нет;нет;;"55.213263,37.054194; 55.213399,37.051923; 55.213439,37.051715; 55.213515,37.051573; 55.213618,37.051443; 55.213729,37.051385; 55.21435,37.051434";2306336336;;
224;1-й Кадашёвский переулок;Центральный административный округ;район Якиманка;30;нет;нет;нет;;"55.741993,37.622506; 55.742017,37.62246; 55.742992,37.62171; 55.744637,37.62057";2306336339;;
225;1-й Казачий переулок;Центральный административный округ;район Якиманка;30;нет;нет;нет;;"55.734968,37.619541; 55.735049,37.623056; 55.735034,37.624333";2306336340;;
226;1-й Котельнический переулок;Центральный административный округ;Таганский район;30;нет;нет;нет;;"55.744183,37.643535; 55.744213,37.643676; 55.74431,37.644575; 55.744312,37.64475; 55.74422,37.645747; 55.744218,37.645857; 55.744219,37.646152; 55.744226,37.646209; 55.744604,37.647808";2306336341;;
228;1-й Новокузнецкий переулок;Центральный административный округ;район Замоскворечье;30;нет;нет;нет;;"55.73431,37.627726; 55.734332,37.628032; 55.734343,37.628088; 55.734965,37.630648; 55.734971,37.630732; 55.735007,37.633126; 55.735222,37.635442";2306336343;;
229;1-й Раушский переулок;Центральный административный округ;район Замоскворечье;30;нет;нет;нет;;"55.747887,37.626529; 55.748679,37.626777";2306336344;;
230;1-й Спасоналивковский переулок;Центральный административный округ;район Якиманка;30;нет;нет;нет;;"55.733732,37.612795; 55.732853,37.619728";2306336345;;
231;2-й Зачатьевский переулок;Центральный административный округ;район Хамовники;30;нет;нет;нет;;"55.741278,37.599707; 55.741236,37.599626; 55.741217,37.599597; 55.741182,37.599586; 55.740668,37.599605; 55.740658,37.599661; 55.740626,37.599741; 55.740598,37.599792; 55.740406,37.60006; 55.740377,37.600144; 55.740364,37.600245; 55.740314,37.600746; 55.7403,37.60083; 55.740274,37.600888; 55.740237,37.60092; 55.739694,37.601085; 55.739638,37.601089; 55.739562,37.60108; 55.739178,37.60095";2306336346;;
232;2-й Кадашёвский переулок;Центральный административный округ;[район Замоскворечье, район Якиманка];30;нет;нет;нет;;"55.743571,37.621424; 55.743988,37.623307; 55.744234,37.624836";2306336347;;
234;2-й Котельнический переулок;Центральный административный округ;Таганский район;30;нет;нет;нет;;"55.744107,37.648545; 55.743994,37.648106; 55.743983,37.648043; 55.743897,37.647243; 55.743881,37.647176; 55.743851,37.647128; 55.7438,37.647081";2306336349;;
235;2-й Монетчиковский переулок;Центральный административный округ;район Замоскворечье;30;нет;нет;нет;;"55.731757,37.626369; 55.731544,37.629398";2306336350;;
236;2-й Новокузнецкий переулок;Центральный административный округ;район Замоскворечье;30;нет;нет;нет;;"55.733583,37.627622; 55.733649,37.628889; 55.734229,37.631432; 55.734338,37.632027; 55.734355,37.632092; 55.734383,37.632113; 55.734414,37.632113; 55.734987,37.631704";2306336351;;
237;2-й Обыденский переулок;Центральный административный округ;район Хамовники;30;нет;нет;нет;;"55.743191,37.600969; 55.742173,37.603278; 55.741315,37.60585";2306336352;;
238;2-й Полянский переулок;Центральный административный округ;район Якиманка;30;нет;нет;нет;;"55.736593,37.61731; 55.736898,37.619135";2306336353;;
239;2-й Раушский переулок;Центральный административный округ;район Замоскворечье;30;нет;нет;нет;;"55.746329,37.634059; 55.747599,37.635074";2306336354;;
240;2-й Спасоналивковский переулок;Центральный административный округ;район Якиманка;30;нет;нет;нет;;"55.731867,37.614805; 55.731754,37.616498; 55.731769,37.616729; 55.731806,37.616948; 55.732414,37.619943";2306336355;;
